"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-701","The Business of Media and Marketplace",NA
"2","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-703","Design and Layout",NA
"3","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-710","Social Media",NA
"4","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-720","Visual Communications",NA
"5","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-731","Writing for Lifestyle Media",NA
"6","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-770","The Global Lifestyle Media Landscape",NA
"7","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-780","Professional Practice",NA
"8","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-799","STORYWORKS",NA
"9","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-702","Entrepreneurial Planning and Promotion",NA
"10","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-711","Measurement and Web Analytics",NA
"11","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-712","Multimedia Studio Production",NA
"12","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-713","Advanced Digital Media Tools",NA
"13","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-714","Lifestyle Public Relations",NA
"14","Centennial College of Applied Arts and Technology","Lifestyle Media","https://www.centennialcollege.ca/programs-courses/full-time/lifestyle-media/","LIME-790","Field Placement",NA
